2023-08-09 18:08:43.002 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-08-09 18:08:43.070 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Starting ContactsApplication using Java 20.0.2 with PID 2584 (C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts\target\classes started by sainath.a in C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts)
2023-08-09 18:08:43.071 [restartedMain] DEBUG c.e.Contacts.ContactsApplication - Running with Spring Boot v3.0.5, Spring v6.0.7
2023-08-09 18:08:43.073 [restartedMain] INFO  c.e.Contacts.ContactsApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-09 18:08:43.154 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-09 18:08:43.157 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-09 18:08:44.726 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-09 18:08:44.856 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 113 ms. Found 3 JPA repository interfaces.
2023-08-09 18:08:46.032 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2023-08-09 18:08:46.050 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2023-08-09 18:08:46.052 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-09 18:08:46.053 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-08-09 18:08:46.171 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-09 18:08:46.171 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3013 ms
2023-08-09 18:08:46.492 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-09 18:08:46.595 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-08-09 18:08:47.015 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-09 18:08:47.458 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@e255fbd
2023-08-09 18:08:47.462 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-09 18:08:47.576 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-08-09 18:08:49.282 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-09 18:08:49.295 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:08:49.858 [restartedMain] DEBUG c.e.Contacts.filter.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2023-08-09 18:08:50.156 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-09 18:08:50.699 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1f9ac591, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@53215266, org.springframework.security.web.context.SecurityContextHolderFilter@1c616f1e, org.springframework.security.web.header.HeaderWriterFilter@3a8b770, org.springframework.web.filter.CorsFilter@4d5b756a, org.springframework.security.web.authentication.logout.LogoutFilter@e5ac2e2, com.example.Contacts.filter.JwtAuthFilter@562d5d5c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@303049f8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7fa18d68, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1417352f, org.springframework.security.web.session.SessionManagementFilter@3a9d1d10, org.springframework.security.web.access.ExceptionTranslationFilter@7e191b6f, org.springframework.security.web.access.intercept.AuthorizationFilter@2aaccb77]
2023-08-09 18:08:51.092 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-09 18:08:51.108 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2023-08-09 18:08:51.139 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2023-08-09 18:08:51.151 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Started ContactsApplication in 8.62 seconds (process running for 9.672)
2023-08-09 18:09:28.623 [http-nio-8085-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-09 18:09:28.628 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-09 18:09:28.632 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-08-09 18:09:29.237 [http-nio-8085-exec-2] WARN  c.e.C.services.ContactServices - User already exists
2023-08-09 18:11:31.016 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-09 18:11:31.023 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
