2023-08-10 10:23:02.061 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-08-10 10:23:02.188 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Starting ContactsApplication using Java 20.0.2 with PID 12884 (C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts\target\classes started by sainath.a in C:\Users\Sainath.a\Desktop\SpringProjectFiles\Contacts\Contacts)
2023-08-10 10:23:02.189 [restartedMain] DEBUG c.e.Contacts.ContactsApplication - Running with Spring Boot v3.0.5, Spring v6.0.7
2023-08-10 10:23:02.191 [restartedMain] INFO  c.e.Contacts.ContactsApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-10 10:23:02.323 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-10 10:23:02.324 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-10 10:23:03.981 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-10 10:23:04.137 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 137 ms. Found 3 JPA repository interfaces.
2023-08-10 10:23:05.615 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8085 (http)
2023-08-10 10:23:05.638 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8085"]
2023-08-10 10:23:05.640 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-10 10:23:05.640 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-08-10 10:23:05.776 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-10 10:23:05.777 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3452 ms
2023-08-10 10:23:06.173 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-10 10:23:06.301 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
2023-08-10 10:23:06.971 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-10 10:23:07.772 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@3c0e88bb
2023-08-10 10:23:07.775 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-10 10:23:07.900 [restartedMain] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2023-08-10 10:23:09.917 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-10 10:23:09.933 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-10 10:23:10.579 [restartedMain] DEBUG c.e.Contacts.filter.JwtAuthFilter - Filter 'jwtAuthFilter' configured for use
2023-08-10 10:23:10.988 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-10 10:23:11.857 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@733a61db, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@64c98ac6, org.springframework.security.web.context.SecurityContextHolderFilter@2654d399, org.springframework.security.web.header.HeaderWriterFilter@4e8f38ac, org.springframework.web.filter.CorsFilter@56240338, org.springframework.security.web.authentication.logout.LogoutFilter@57405bae, com.example.Contacts.filter.JwtAuthFilter@57d5a9e0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61a8de54, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@35ae8c58, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6dbbb693, org.springframework.security.web.session.SessionManagementFilter@4073cd0d, org.springframework.security.web.access.ExceptionTranslationFilter@2bd22758, org.springframework.security.web.access.intercept.AuthorizationFilter@492bc9eb]
2023-08-10 10:23:12.456 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-10 10:23:12.481 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8085"]
2023-08-10 10:23:12.544 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8085 (http) with context path ''
2023-08-10 10:23:12.609 [restartedMain] INFO  c.e.Contacts.ContactsApplication - Started ContactsApplication in 11.101 seconds (process running for 12.926)
2023-08-10 10:23:16.604 [http-nio-8085-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-10 10:23:16.605 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-10 10:23:16.607 [http-nio-8085-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-08-10 10:23:17.092 [http-nio-8085-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [com.example.Contacts.exceptions.ContactNotFound: not found]
2023-08-10 10:25:20.148 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-10 10:25:20.155 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-10 10:25:20.171 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
